,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
1068,Author,['basics'],feaEbR4AAAAJ,AUTHOR_PROFILE_PAGE,Chih-Chieh Hung (Oshin),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=feaEbR4AAAAJ&citpid=2,"Associate Professor, National Chung Hsing University","['Data Mining', 'Intelligent Transportation Systems', 'Spatiotemporal Databases', 'Big Data Analytics', 'Artificial Intelligence']",@nchu.edu.tw,https://smalloshin.github.io/index.html,1061,14030647560086988586,National Chung Hsing University,Taiwan
1069,Author,['basics'],vfclKdEAAAAJ,AUTHOR_PROFILE_PAGE,Saeid Asadi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vfclKdEAAAAJ&citpid=16,Shahed University,"['Information science', 'Scholarly communication', 'Bibliometrics']",@shahed.ac.ir,https://sites.google.com/site/asadi/,413,14351137094589763206,Shahed University,Iran
1070,Author,['basics'],BN2Ze-QAAAAJ,AUTHOR_PROFILE_PAGE,Hongsheng Li (李鸿升),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BN2Ze-QAAAAJ&citpid=3,Associate Professor at The Chinese University of Hong Kong,"['Computer Vision', 'Machine Learning', 'Medical Image Analysis']",@ee.cuhk.edu.hk,http://www.ee.cuhk.edu.hk/~hsli/,34710,3220904064098251966,Chinese University of Hong Kong,Hong Kong
1071,Author,['basics'],jEdhxGMAAAAJ,AUTHOR_PROFILE_PAGE,Cyrus Shahabi,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=jEdhxGMAAAAJ&citpid=4,"Professor of Computer Science, University of Southern California","['Database', 'GIS', 'Multimedia', 'Data Mining']",@usc.edu,http://infolab.usc.edu/Shahabi/,28293,2347757669226619985,University of Southern California,USA
1072,Author,['basics'],CnAuFCYAAAAJ,AUTHOR_PROFILE_PAGE,He Jiang,,University of Southern California,"['Machine Learning', 'Data Mining', 'Natural Language Processing']",@usc.edu,,612,2347757669226619985,University of Southern California,USA
1073,Author,['basics'],N7_xhHoAAAAJ,AUTHOR_PROFILE_PAGE,Zhiting Hu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N7_xhHoAAAAJ&citpid=4,Assistant Professor at UC San Diego,"['Machine Learning', 'Artificial Intelligence', 'Natural Language Processing']",@ucsd.edu,http://zhiting.ucsd.edu/,9459,7549334305653538480,"University of California, San Diego",USA
1074,Author,['basics'],IJan8QwAAAAJ,AUTHOR_PROFILE_PAGE,Shankar Krishnan,,Google Research,"['Machine Learning', 'Data mining', 'Algorithms', 'Geometry']",@google.com,,3890,6518679690484165796,Google Inc.,USA
1075,Author,['basics'],sCHGSHIAAAAJ,AUTHOR_PROFILE_PAGE,Yitian Yuan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sCHGSHIAAAAJ&citpid=6,Unknown affiliation,"['Multimedia', 'Video Analysis']",@tsinghua.org.cn,,714,,,
1076,Author,['basics'],vqXoS_QAAAAJ,AUTHOR_PROFILE_PAGE,Kin Wah Edward LIN,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vqXoS_QAAAAJ&citpid=4,株式会社RevComm(レブコム),"['Image Object Detection & Tracking', 'Audio-related iOS app', 'Singing Style Visualization', 'Audio Feature Optimization', 'Sine Partials']",@alumni.sutd.edu.sg,https://kinwahedwardlin.wordpress.com/,165,,,
1077,Author,['basics'],yAWtq6QAAAAJ,AUTHOR_PROFILE_PAGE,Naiyan Wang,,TuSimple,"['Machine Learning', 'Computer Vision', 'Autonomous Driving']",@tusimple.com,http://winsty.net/,18196,,,
1078,Author,['basics'],Db4BCX8AAAAJ,AUTHOR_PROFILE_PAGE,Noah Snavely,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Db4BCX8AAAAJ&citpid=4,Professor at Cornell Tech and Researcher at Google Research,"['Computer Vision', 'Computer Graphics']",@cs.cornell.edu,http://www.cs.cornell.edu/~snavely,31817,,,
1079,Author,['basics'],oBeXCuQAAAAJ,AUTHOR_PROFILE_PAGE,P Vijay Kumar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oBeXCuQAAAAJ&citpid=57,"Hon. Professor, Indian Institute of Science","['Codes for low-latency comm', 'Codes for distributed storage', 'Low-correlation sequences', 'Space-time codes', 'Algebraic-geometry codes']",@iisc.ac.in,https://ece.iisc.ac.in/~pvkece/,13933,,,
1080,Author,['basics'],IE7M2mgAAAAJ,AUTHOR_PROFILE_PAGE,Huaxiong Wang,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=IE7M2mgAAAAJ&citpid=3,"Nanyang Technological University, Singapore","['Cryptography', 'Information Security', 'Combinatorics', 'Theoretical Computer Science']",@ntu.edu.sg,http://www3.ntu.edu.sg/home/hxwang/,8282,3012140508424117850,Nanyang Technological University,Singapore
1081,Author,['basics'],pZgFp1kAAAAJ,AUTHOR_PROFILE_PAGE,Yibo Zhu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pZgFp1kAAAAJ&citpid=2,Stealth startup,"['Machine Learning Systems', 'Computer Networks', 'Distributed Systems']",@-,http://yibozhu.com/,4437,,,
1082,Author,['basics'],MXvC7tkAAAAJ,AUTHOR_PROFILE_PAGE,Irwin King,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MXvC7tkAAAAJ&citpid=3,The Chinese University of Hong Kong,"['social computing', 'machine learning', 'AI', 'graph neural networks', 'NLP']",@cse.cuhk.edu.hk,http://www.cse.cuhk.edu.hk/irwin.king,29865,3220904064098251966,Chinese University of Hong Kong,Hong Kong
1083,Author,['basics'],wypIBQsAAAAJ,AUTHOR_PROFILE_PAGE,Zhu-Tian Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wypIBQsAAAAJ&citpid=9,"PostDoc, Harvard University","['Information Visualization', 'Human-computer Interaction', 'Augmented Reality', 'Applied Machine Learning']",@seas.harvard.edu,http://chenzhutian.org/,734,1896398670060433590,Harvard University,USA
1084,Author,['basics'],LG_E-4EAAAAJ,AUTHOR_PROFILE_PAGE,Weizhu Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LG_E-4EAAAAJ&citpid=1,Microsoft,"['NLP', 'Deep Learning and Machine Learning']",@microsoft.com,https://www.microsoft.com/en-us/research/people/wzchen/,12683,12331530069074480064,Microsoft Corporation,USA
